State,Timestamp,vel_x,vel_z,x_position,y_position
0,6.444,2,0.201966,1.37432,0.175062
1,6.478,2,0.1993,1.40784,0.18128
2,6.617,2,0.203114,1.56394,0.211662
3,6.706,2,0.208213,1.65285,0.230389
4,6.943,2,0.196697,1.92776,0.292582
5,7.002,2,0.214897,1.98282,0.305636
6,7.094,2,0.200416,2.08251,0.329923
7,7.129,2,0.217368,2.12711,0.34135
8,7.173,2,0.208982,2.17168,0.35282
9,7.208,2,0.203807,2.21569,0.364756
10,7.555,2,0.223259,2.58343,0.468941
11,7.633,2,0.208576,2.67032,0.495901
12,7.726,2,0.216213,2.78045,0.530595
13,7.987,2,0.225522,3.05934,0.623589
14,8.027,2,0.221651,3.10205,0.638178
15,8.079,2,0.236589,3.15584,0.657171
16,8.41,2,0.226109,3.49178,0.786593
17,8.447,2,0.219721,3.53403,0.803125
18,8.496,2,0.237228,3.58672,0.824417
19,8.665,2,0.230182,3.77311,0.903709
20,8.753,2,0.238915,3.86548,0.94459
21,8.767,2,0.236158,3.87579,0.949268
22,8.853,2,0.222568,3.94808,0.981777
23,8.932,2,0.231817,4.05048,1.02913
24,9.028,2,0.240642,4.14265,1.07245
25,9.314,2,0.236703,4.4348,1.21919
26,9.346,2,0.229288,4.45474,1.22962
27,9.919,2,0.228826,5.02579,1.55124
28,9.955,2,0.224153,5.0546,1.56831
29,9.989,2,0.241463,5.09282,1.5918
30,10.288,2,0.237252,5.38087,1.77447
31,10.331,2,0.230243,5.41839,1.7998
32,10.574,2,0.248175,5.65298,1.95843
33,10.628,2,0.238757,5.69959,1.99089
34,10.747,2,0.238819,5.80902,2.07005
35,10.823,2,0.250553,5.87283,2.11676
36,10.849,2,0.243453,5.90006,2.1366
37,10.937,2,0.255965,5.98011,2.19725
38,10.965,2,0.249491,5.99802,2.21085
39,10.989,2,0.246025,6.02555,2.23125
40,11.098,2,0.2502,6.11478,2.30143
41,11.135,2.00001,0.240636,6.15863,2.33662
42,11.349,2,0.253057,6.33229,2.47905
43,11.362,2,0.247541,6.34981,2.49372
44,11.414,2.00001,0.241663,6.39329,2.5301
45,11.449,2,0.238037,6.42784,2.55953
46,11.627,2,0.242494,6.58187,2.69463
47,11.697,2,0.231557,6.63296,2.74037
48,12.243,2.00001,0.245694,7.08,3.17367
49,12.372,2,0.229707,7.18942,3.28829
50,12.423,2,0.246282,7.22068,3.32167
51,12.455,2,0.23846,7.2518,3.35534
