"x_position_input","y_position_input","yaw_input","input_time","con_x_input","con_z_input","con_time","x_position_output","y_position_output","yaw_output","output_time"
"4.94066e-324","6.95272e-310","6.95272e-310","6.91456e-310",2,0.334587,20.583,-0.0504967,-0.00143488,0.00626104,20.59
-0.0504967,-0.00143488,0.00626104,20.59,2,0.325196,20.592,-0.0523075,-0.000950164,0.0075495,20.6
-0.0523075,-0.000950164,0.0075495,20.6,2,0.323263,20.612,-0.0557093,0.000143382,0.0102121,20.62
-0.0557093,0.000143382,0.0102121,20.62,2,0.319269,20.634,-0.0591116,0.00123619,0.0128861,20.641
-0.0591116,0.00123619,0.0128861,20.641,2,0.315258,20.652,-0.0625073,0.00232453,0.0154429,20.664
-0.0625073,0.00232453,0.0154429,20.664,2,0.311423,20.673,-0.0656901,0.00326745,0.0160795,20.68
-0.0656901,0.00326745,0.0160795,20.68,2,0.310468,20.693,-0.0684315,0.00400457,0.0161985,20.7
-0.0684315,0.00400457,0.0161985,20.7,2,0.31029,20.712,-0.070665,0.00456055,0.0165792,20.72
-0.070665,0.00456055,0.0165792,20.72,2,0.309718,20.733,-0.0721213,0.00496447,0.0161983,20.74
-0.0721213,0.00496447,0.0161983,20.74,2,0.339138,20.755,-0.0726374,0.00516581,0.0153653,20.761
-0.0726374,0.00516581,0.0153653,20.761,2,0.340387,20.773,-0.0726693,0.00523565,0.0145463,20.78
-0.0726693,0.00523565,0.0145463,20.78,2,0.341616,20.792,-0.0716265,0.0050334,0.0135285,20.8
-0.0716265,0.0050334,0.0135285,20.8,2,0.343142,20.812,-0.0699234,0.00465752,0.0123313,20.82
-0.0699234,0.00465752,0.0123313,20.82,2,0.344938,20.833,-0.0671682,0.00392905,0.00488198,20.841
-0.0671682,0.00392905,0.00488198,20.841,2,0.356112,20.853,-0.0637046,0.00238475,-0.00416577,20.86
-0.0637046,0.00238475,-0.00416577,20.86,2,0.369684,20.874,-0.0594779,-0.000237713,-0.0122117,20.88
-0.0594779,-0.000237713,-0.0122117,20.88,2,0.381752,20.892,-0.0542047,-0.00334398,-0.0135789,20.9
-0.0542047,-0.00334398,-0.0135789,20.9,2,0.383803,20.913,-0.0484087,-0.00611854,-0.0113211,20.92
-0.0484087,-0.00611854,-0.0113211,20.92,2,0.380416,20.933,-0.0413329,-0.00738671,-0.00452258,20.94
-0.0413329,-0.00738671,-0.00452258,20.94,2,0.399067,20.959,-0.0340022,-0.00679071,0.00387307,20.96
-0.0340022,-0.00679071,0.00387307,20.96,2,0.386473,20.973,-0.0268511,-0.00571055,0.0113069,20.98
-0.0268511,-0.00571055,0.0113069,20.98,2,0.375323,20.994,-0.0197362,-0.00427438,0.0166608,21
-0.0197362,-0.00427438,0.0166608,21,2,0.367292,21.013,-0.0125802,-0.00270577,0.0204453,21.023
-0.0125802,-0.00270577,0.0204453,21.023,2,0.361615,21.034,-0.00526201,-0.0012575,0.0233272,21.04
-0.00526201,-0.0012575,0.0233272,21.04,2,0.357292,21.064,0.0063005,0.000263916,0.0266826,21.07
