"x_position_input","y_position_input","yaw_input","input_time","vel_x_input","vel_y_input","vel_w_input","con_x_input","con_z_input","con_time","x_position_output","y_position_output","yaw_output","output_time","vel_x_output","vel_y_output","vel_w_output"
-0.0516892,-0.00110962,0.0292804,9.875,-0.0117427,-0.000790491,0.00125733,0.460013,0.0334734,9.876,-0.0518073,-0.00111822,0.0292974,9.886,-0.0117954,-0.000721108,0.00178544
-0.0518073,-0.00111822,0.0292974,9.886,-0.0117954,-0.000721108,0.00178544,0.46017,0.0334606,9.895,-0.0520406,-0.00113702,0.0293542,9.905,-0.011568,-0.00113316,0.00240114
-0.0520406,-0.00113702,0.0293542,9.905,-0.011568,-0.00113316,0.00240114,0.46048,0.0334178,9.919,-0.0522722,-0.00116255,0.0293955,9.925,-0.0115851,-0.00127641,0.00151556
-0.0522722,-0.00116255,0.0293955,9.925,-0.0115851,-0.00127641,0.00151556,0.460788,0.0333866,9.94,-0.0525018,-0.00118289,0.0294365,9.945,-0.0115066,-0.000888697,0.00165133
-0.0525018,-0.00118289,0.0294365,9.945,-0.0115066,-0.000888697,0.00165133,0.461093,0.0333557,9.958,-0.052734,-0.00119808,0.02947,9.965,-0.0116045,-0.000681956,0.00265617
-0.052734,-0.00119808,0.02947,9.965,-0.0116045,-0.000681956,0.00265617,0.461402,0.0333304,9.98,-0.0529659,-0.00121661,0.0295202,9.985,-0.0117527,-0.0011214,0.00126229
-0.0529659,-0.00121661,0.0295202,9.985,-0.0117527,-0.0011214,0.00126229,0.46171,0.0332926,9.998,-0.0532035,-0.00123871,0.0295495,10.005,-0.0119105,-0.000860038,0.0017143
-0.0532035,-0.00123871,0.0295495,10.005,-0.0119105,-0.000860038,0.0017143,0.462026,0.0332705,10.018,-0.053441,-0.00125438,0.0295937,10.025,-0.0119417,-0.000818669,0.00171719
-0.053441,-0.00125438,0.0295937,10.025,-0.0119417,-0.000818669,0.00171719,0.462341,0.0332371,10.038,-0.0536785,-0.00127025,0.0296354,10.045,-0.011786,-0.000768944,0.00230019
-0.0536785,-0.00127025,0.0296354,10.045,-0.011786,-0.000768944,0.00230019,0.541582,0.0444452,10.077,-0.0541409,-0.00130916,0.0297181,10.085,-0.0114923,-0.000639012,0.00218422
-0.0541409,-0.00130916,0.0297181,10.085,-0.0114923,-0.000639012,0.00218422,0.542196,0.0443829,10.088,-0.0542547,-0.00131748,0.0297477,10.095,-0.0113444,-0.000893234,0.00272394
-0.0542547,-0.00131748,0.0297477,10.095,-0.0113444,-0.000893234,0.00272394,0.542348,0.0443605,10.097,-0.0543682,-0.00132781,0.0297707,10.105,-0.0114967,-0.0011027,0.00107618
-0.0543682,-0.00132781,0.0297707,10.105,-0.0114967,-0.0011027,0.00107618,0.542499,0.0443432,10.117,-0.0545946,-0.00134741,0.0298111,10.125,-0.00995527,-0.000692784,0.00375748
-0.0545946,-0.00134741,0.0298111,10.125,-0.00995527,-0.000692784,0.00375748,0.542799,0.0443128,10.137,-0.0545928,-0.001339,0.0300039,10.145,0.0133845,0.00191533,0.0106512
-0.0545928,-0.001339,0.0300039,10.145,0.0133845,0.00191533,0.0106512,0.542797,0.0441674,10.159,-0.0539413,-0.00127788,0.0303121,10.165,0.0530835,0.00392648,0.0174443
-0.0539413,-0.00127788,0.0303121,10.165,0.0530835,0.00392648,0.0174443,0.541931,0.0439351,10.179,-0.0524022,-0.00118829,0.0307084,10.185,0.0997461,0.00471331,0.0171393
-0.0524022,-0.00118829,0.0307084,10.185,0.0997461,0.00471331,0.0171393,0.539885,0.0436362,10.199,-0.049817,-0.00109806,0.0311737,10.205,0.155305,0.00473803,0.0196363
-0.049817,-0.00109806,0.0311737,10.205,0.155305,0.00473803,0.0196363,0.536449,0.0432854,10.216,-0.0460534,-0.000989429,0.0316695,10.225,0.216202,0.00678384,0.0194018
-0.0460534,-0.000989429,0.0316695,10.225,0.216202,0.00678384,0.0194018,0.531446,0.0429116,10.237,-0.0410447,-0.00081743,0.032122,10.245,0.280041,0.0104681,0.016528
-0.0410447,-0.00081743,0.032122,10.245,0.280041,0.0104681,0.016528,0.603498,0.0538099,10.258,-0.0347253,-0.000576063,0.0325244,10.268,0.34734,0.01348,0.0226355
-0.0347253,-0.000576063,0.0325244,10.268,0.34734,0.01348,0.0226355,0.595099,0.0535065,10.279,-0.0270744,-0.000292445,0.0329156,10.285,0.414414,0.014935,0.0204878
-0.0270744,-0.000292445,0.0329156,10.285,0.414414,0.014935,0.0204878,0.584931,0.0532115,10.297,-0.0180727,4.33E-05,0.0333132,10.305,0.483511,0.0181018,0.0191008
-0.0180727,4.33E-05,0.0333132,10.305,0.483511,0.0181018,0.0191008,0.572968,0.0529117,10.317,-0.00775732,0.000438618,0.0335247,10.325,0.537233,0.0217975,-0.0171213
