"x_position_input","y_position_input","yaw_input","input_time","vel_x_input","vel_y_input","vel_w_input","con_x_input","con_z_input","con_time","x_position_output","y_position_output","yaw_output","output_time","vel_x_output","vel_y_output","vel_w_output",,"dt_con_output","cos","sin","X-error","Y-erro"
-0.0516892,-0.00110962,0.0292804,9.875,-0.0117427,-0.000790491,0.00125733,0.460013,0.0334734,9.876,-0.0518073,-0.00111822,0.0292974,9.886,-0.0117954,-0.000721108,0.00178544,,0.01,0.999571359713503,0.029276216294089,6.40820534490022E-05,0.000143274400861
-0.0518073,-0.00111822,0.0292974,9.886,-0.0117954,-0.000721108,0.00178544,0.46017,0.0334606,9.895,-0.0520406,-0.00113702,0.0293542,9.905,-0.011568,-0.00113316,0.00240114,,0.01,0.999570861873388,0.029293209002973,0.00017902110782,0.000153598559869
-0.0520406,-0.00113702,0.0293542,9.905,-0.011568,-0.00113316,0.00240114,0.46048,0.0334178,9.919,-0.0522722,-0.00116255,0.0293955,9.925,-0.0115851,-0.00127641,0.00151556,,0.006,0.99956919640669,0.029349984580644,0.00019963900416,0.000106620485398
-0.0522722,-0.00116255,0.0293955,9.925,-0.0115851,-0.00127641,0.00151556,0.460788,0.0333866,9.94,-0.0525018,-0.00118289,0.0294365,9.945,-0.0115066,-0.000888697,0.00165133,,0.005000000000001,0.999567983399849,0.029391266763413,0.000202908624706,8.80557151469071E-05
-0.0525018,-0.00118289,0.0294365,9.945,-0.0115066,-0.000888697,0.00165133,0.461093,0.0333557,9.958,-0.052734,-0.00119808,0.02947,9.965,-0.0116045,-0.000681956,0.00265617,,0.007,0.999566777517776,0.029432249026017,0.000195060711003,0.000110187028001
-0.052734,-0.00119808,0.02947,9.965,-0.0116045,-0.000681956,0.00265617,0.461402,0.0333304,9.98,-0.0529659,-0.00121661,0.0295202,9.985,-0.0117527,-0.0011214,0.00126229,,0.004999999999999,0.999565790976552,0.029465734496543,0.000205128302455,8.6507744140855E-05
-0.0529659,-0.00121661,0.0295202,9.985,-0.0117527,-0.0011214,0.00126229,0.46171,0.0332926,9.998,-0.0532035,-0.00123871,0.0295495,10.005,-0.0119105,-0.000860038,0.0017143,,0.007000000000001,0.999564310537208,0.029515912662101,0.000199615626181,0.000117494544247
-0.0532035,-0.00123871,0.0295495,10.005,-0.0119105,-0.000860038,0.0017143,0.462026,0.0332705,10.018,-0.053441,-0.00125438,0.0295937,10.025,-0.0119417,-0.000818669,0.00171719,,0.007,0.999563445291909,0.029545199883726,0.000198979275289,0.00011122455365
-0.053441,-0.00125438,0.0295937,10.025,-0.0119417,-0.000818669,0.00171719,0.462341,0.0332371,10.038,-0.0536785,-0.00127025,0.0296354,10.045,-0.011786,-0.000768944,0.00230019,,0.007,0.999562138417681,0.029589380559133,0.000198852037362,0.00011163268658
-0.0536785,-0.00127025,0.0296354,10.045,-0.011786,-0.000768944,0.00230019,0.541582,0.0444452,10.077,-0.0541409,-0.00130916,0.0297181,10.085,-0.0114923,-0.000639012,0.00218422,,0.008000000000001,0.999560903671447,0.029631062274567,0.000411335316384,0.00016729119975
