x_position_input,y_position_input,yaw_input,input_time,vel_x_input,vel_y_input,vel_w_input,x_ref,y_ref,yaw_ref,con_x_input,con_z_input,con_time,x_position_output,y_position_output,yaw_output,output_time,vel_x_output,vel_y_output,vel_w_output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.00420098,0.00851628,0.0926688,403.548,-0.000264032,-0.000121317,0.000315043,0,0,0,0.470657,-0.00715123,403.55,-0.0041629,0.00852106,0.0926739,403.56,0.00809048,0.000986191,1.42757e-06,
-0.0041629,0.00852106,0.0926739,403.56,0.00809048,0.000986191,1.42757e-06,0,0,0,0.47062,-0.0071528,403.568,-0.00374108,0.00854239,0.0927193,403.578,0.0335884,0.00108525,0.00872806,
-0.00374108,0.00854239,0.0927193,403.578,0.0335884,0.00108525,0.00872806,0,0,0,0.470217,-0.00716721,403.593,-0.00279381,0.00858239,0.0929312,403.603,0.0625595,0.00385718,0.0144309,
-0.00279381,0.00858239,0.0929312,403.603,0.0625595,0.00385718,0.0144309,0,0,0,0.469313,-0.00723434,403.611,-0.000997755,0.00877278,0.09308,403.621,0.118365,0.0152939,0.0066694,
-0.000997755,0.00877278,0.09308,403.621,0.118365,0.0152939,0.0066694,0,0,0,0.467598,-0.0072815,403.63,0.00212375,0.00917657,0.0928919,403.64,0.18722,0.0231671,-0.0193925,
0.00212375,0.00917657,0.0928919,403.64,0.18722,0.0231671,-0.0193925,0,0,0,0.464617,-0.00722189,403.65,0.00649708,0.00961438,0.0926962,403.66,0.245769,0.0209973,-0.0051209,
0.00649708,0.00961438,0.0926962,403.66,0.245769,0.0209973,-0.0051209,0,0,0,0.460441,-0.00715987,403.671,0.0121043,0.0100711,0.0928974,403.685,0.310838,0.0258856,0.0133169,
0.0121043,0.0100711,0.0928974,403.685,0.310838,0.0258856,0.0133169,0,0,0,0.455086,-0.00722363,403.692,0.0187702,0.0106875,0.0924957,403.702,0.351406,0.0339646,-0.0502165,
0.0187702,0.0106875,0.0924957,403.702,0.351406,0.0339646,-0.0502165,0,0,0,0.448721,-0.00709635,403.711,0.0262414,0.0113668,0.0912492,403.721,0.392631,0.0324135,-0.0545704,
0.0262414,0.0113668,0.0912492,403.721,0.392631,0.0324135,-0.0545704,0,0,0,0.441587,-0.00670133,403.731,0.034683,0.011978,0.0905661,403.742,0.448432,0.0296258,-0.0204564,
0.034683,0.011978,0.0905661,403.742,0.448432,0.0296258,-0.0204564,0,0,0,0.433526,-0.00648489,403.749,0.0440065,0.0126542,0.0903312,403.759,0.479406,0.0404748,-0.0109659,
0.0440065,0.0126542,0.0903312,403.759,0.479406,0.0404748,-0.0109659,0,0,0,0.424623,-0.00641044,403.774,0.0534709,0.0135323,0.0906906,403.785,0.471171,0.0453022,0.0153314,
0.0534709,0.0135323,0.0906906,403.785,0.471171,0.0453022,0.0153314,0,0,0,0.415585,-0.00652435,403.792,0.0628783,0.0144557,0.0908292,403.802,0.471226,0.047112,0.00261526,
0.0628783,0.0144557,0.0908292,403.802,0.471226,0.047112,0.00261526,0.109196,0.000851743,0.0156,0.500159,-0.00211718,403.81,0.0772595,0.0158929,0.0908615,403.827,0.490271,0.045771,-0.0163148,
0.0772595,0.0158929,0.0908615,403.827,0.490271,0.045771,-0.0163148,0.109196,0.000851743,0.0156,0.486423,-0.00212739,403.831,0.0821126,0.0163424,0.0902963,403.841,0.486797,0.0444566,-0.0625488,
0.0821126,0.0163424,0.0902963,403.841,0.486797,0.0444566,-0.0625488,0.109196,0.000851743,0.0156,0.481787,-0.00194829,403.85,0.0919916,0.017196,0.0894579,403.86,0.499282,0.0411154,-0.0228657,
0.0919916,0.017196,0.0894579,403.86,0.499282,0.0411154,-0.0228657,0.109196,0.000851743,0.0156,0.472352,-0.00168261,403.878,0.107391,0.0183485,0.0893075,403.888,0.530487,0.0386712,0.000403903,
