"%time","field.linear.x","field.linear.y","field.linear.z","field.angular.x","field.angular.y","field.angular.z","field.header.seq","field.header.stamp","field.header.frame_id","field.child_frame_id","field.pose.pose.position.x","field.pose.pose.position.y","field.pose.pose.position.z","field.pose.pose.orientation.x","field.pose.pose.orientation.y","field.pose.pose.orientation.z","field.pose.pose.orientation.w","field.pose.covariance0","field.pose.covariance1","field.pose.covariance2","field.pose.covariance3","field.pose.covariance4","field.pose.covariance5","field.pose.covariance6","field.pose.covariance7","field.pose.covariance8","field.pose.covariance9","field.pose.covariance10","field.pose.covariance11","field.pose.covariance12","field.pose.covariance13","field.pose.covariance14","field.pose.covariance15","field.pose.covariance16","field.pose.covariance17","field.pose.covariance18","field.pose.covariance19","field.pose.covariance20","field.pose.covariance21","field.pose.covariance22","field.pose.covariance23","field.pose.covariance24","field.pose.covariance25","field.pose.covariance26","field.pose.covariance27","field.pose.covariance28","field.pose.covariance29","field.pose.covariance30","field.pose.covariance31","field.pose.covariance32","field.pose.covariance33","field.pose.covariance34","field.pose.covariance35","field.twist.twist.linear.x","field.twist.twist.linear.y","field.twist.twist.linear.z","field.twist.twist.angular.x","field.twist.twist.angular.y","field.twist.twist.angular.z","field.twist.covariance0","field.twist.covariance1","field.twist.covariance2","field.twist.covariance3","field.twist.covariance4","field.twist.covariance5","field.twist.covariance6","field.twist.covariance7","field.twist.covariance8","field.twist.covariance9","field.twist.covariance10","field.twist.covariance11","field.twist.covariance12","field.twist.covariance13","field.twist.covariance14","field.twist.covariance15","field.twist.covariance16","field.twist.covariance17","field.twist.covariance18","field.twist.covariance19","field.twist.covariance20","field.twist.covariance21","field.twist.covariance22","field.twist.covariance23","field.twist.covariance24","field.twist.covariance25","field.twist.covariance26","field.twist.covariance27","field.twist.covariance28","field.twist.covariance29","field.twist.covariance30","field.twist.covariance31","field.twist.covariance32","field.twist.covariance33","field.twist.covariance34","field.twist.covariance35"
1.69863872408831E+018,0.534040534166713,0,0,0,0,0.5,4933,1.69863872408728E+018,"odom","odom_imu",1.33333110809326,0.355409622192383,0.063411511480808,-0.010696063906958,-0.026463128708143,0.4987950264352,0.866249859243499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226354986802259,0.38494466274248,-0.013266504905484,-0.051134966297323,-0.112208692197359,0.410659912036413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872409868E+018,0.534586127698711,0,0,0,0,0.5,4934,1.69863872409732E+018,"odom","odom_imu",1.33566474914551,0.359707683324814,0.063304394483566,-0.011154744223025,-0.026425849479409,0.501055812985649,0.864939488307651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222928575806077,0.479564181434264,0.006729567934846,-0.067686166597778,0.038370249952518,0.525115045712942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872410823E+018,0.535658904272382,0,0,0,0,0.5,4935,1.69863872410735E+018,"odom","odom_imu",1.33799421787262,0.364600092172623,0.063310854136944,-0.011916649845698,-0.026316604333034,0.503441268545272,0.863546361765459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225163180451217,0.504006560509609,0.013876675232262,-0.112457562221462,0.080456378097975,0.557542952702993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872411825E+018,0.536932313972907,0,0,0,0,0.5,4936,1.69863872411726E+018,"odom","odom_imu",1.3404483795166,0.369498372077942,0.063431054353714,-0.012473545463056,-0.026159004767679,0.505850233929056,0.86213436189904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25375358789438,0.490990984635534,0.028945936601328,-0.072965685261661,0.068795839484178,0.568569156335348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872412823E+018,0.5374541180655,0,0,0,0,0.5,4937,1.69863872412732E+018,"odom","odom_imu",1.34493732452393,0.38450825214386,0.055428616702557,-0.013721280567634,-0.028636456030234,0.508342597890216,0.860569278452258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297129986607723,0.454340033012086,-0.002437700321469,-0.008147906408142,0.049869820023148,0.548567622279529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872413824E+018,0.537926530613939,0,0,0,0,0.5,4938,1.69863872413729E+018,"odom","odom_imu",1.34828591346741,0.388752460479736,0.05524704605341,-0.013706928319488,-0.028314042684006,0.510217564691425,0.859469878345532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358290852556906,0.409187603069007,-0.032310485712704,0.041724945056755,0.040774926090805,0.438828139876728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872414819E+018,0.538649480157005,0,0,0,0,0.5,4939,1.69863872414731E+018,"odom","odom_imu",1.35213327407837,0.392562359571457,0.05483128875494,-0.013293316152735,-0.028083132308536,0.511961812559454,0.858446112406739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392828811151763,0.36707940426885,-0.056499589508277,0.100161133903582,-0.014994913233252,0.404152899360065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872415826E+018,0.538961555399798,0,0,0,0,0.5,4940,1.69863872415734E+018,"odom","odom_imu",1.35600662231445,0.395988047122955,0.054409019649029,-0.012683732781612,-0.028128744428491,0.513484691165186,0.857543799813511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364246623262276,0.332391574940738,-0.036602112418604,0.104512697655279,-0.081090391134651,0.351821094130878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872416823E+018,0.540681218401748,0,0,0,0,0.5,4941,1.6986387241673E+018,"odom","odom_imu",1.35940027236938,0.399422824382782,0.054193172603846,-0.012413534097931,-0.02842246170556,0.514795388164844,0.856751875496052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303317070205176,0.370202317657875,-0.011413675587508,0.02026639935704,-0.088164352332981,0.307435809945468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863872417825E+018,0.542020260163507,0,0,0,0,0.5,4942,1.69863872417735E+018,"odom","odom_imu",1.36227560043335,0.4034783244133,0.054173350334168,-0.012474165522069,-0.028283948553228,0.516907207428564,0.855483110503749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255060738903948,0.446373542307709,0.011838526671375,0.011302856366653,0.015504803056089,0.493110745524768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
