%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1698638724088312465,0.5340405341667132,0.0,0.0,0.0,0.0,0.5
1698638724098682757,0.5345861276987115,0.0,0.0,0.0,0.0,0.5
1698638724108230233,0.5356589042723819,0.0,0.0,0.0,0.0,0.5
1698638724118249316,0.5369323139729069,0.0,0.0,0.0,0.0,0.5
1698638724128230329,0.5374541180654997,0.0,0.0,0.0,0.0,0.5
1698638724138239348,0.5379265306139386,0.0,0.0,0.0,0.0,0.5
1698638724148186161,0.5386494801570055,0.0,0.0,0.0,0.0,0.5
1698638724158259480,0.5389615553997978,0.0,0.0,0.0,0.0,0.5
1698638724168227166,0.5406812184017484,0.0,0.0,0.0,0.0,0.5
1698638724178252796,0.5420202601635066,0.0,0.0,0.0,0.0,0.5
1698638724188336713,0.5440858061528612,0.0,0.0,0.0,0.0,0.5
1698638724198245676,0.5450057237098579,0.0,0.0,0.0,0.0,0.5
1698638724208219035,0.5465213802895567,0.0,0.0,0.0,0.0,0.5
1698638724218706414,0.5473720159003755,0.0,0.0,0.0,0.0,0.5
1698638724228331946,0.5487402152285259,0.0,0.0,0.0,0.0,0.5
1698638724238216630,0.5503952653232448,0.0,0.0,0.0,0.0,0.5
1698638724248257558,0.5518601729272471,0.0,0.0,0.0,0.0,0.5
1698638724258271858,0.5539283873295087,0.0,0.0,0.0,0.0,0.5
1698638724268205997,0.5542016510113671,0.0,0.0,0.0,0.0,0.5
1698638724278268203,0.5542340732537375,0.0,0.0,0.0,0.0,0.5
1698638724288236670,0.5549729513689693,0.0,0.0,0.0,0.0,0.5
1698638724298235115,0.5558313716151794,0.0,0.0,0.0,0.0,0.5
1698638724308264521,0.5558561904584691,0.0,0.0,0.0,0.0,0.5
1698638724318272016,0.5567094025896647,0.0,0.0,0.0,0.0,0.5
1698638724328254822,0.5574606205427518,0.0,0.0,0.0,0.0,0.5
1698638724338219650,0.558478488648897,0.0,0.0,0.0,0.0,0.5
