"x_position_input","y_position_input","yaw_input","input_time","vel_x_input","vel_y_input","vel_w_input","x_ref","y_ref","yaw_ref","con_x_input","con_z_input","con_time","x_position_output","y_position_output","yaw_output","output_time","vel_x_output","vel_y_output","vel_w_output"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027358,-0.037691,-0.0863249,394.008,-0.000921757,-0.000271761,0.00306975,0,0,0,0.477448,0.138134,394.009,0.0273901,-0.0376956,-0.0862287,394.019,0.00690237,-0.000776679,0.0146043
0.0273901,-0.0376956,-0.0862287,394.019,0.00690237,-0.000776679,0.0146043,0,0,0,0.477406,0.138061,394.032,0.027873,-0.037728,-0.0854385,394.042,0.0411539,-0.00225573,0.0554318
0.027873,-0.037728,-0.0854385,394.042,0.0411539,-0.00225573,0.0554318,0,0,0,0.476764,0.137465,394.05,0.0291231,-0.0377844,-0.0841596,394.06,0.0836845,-0.00378852,0.0714965
0.0291231,-0.0377844,-0.0841596,394.06,0.0836845,-0.00378852,0.0714965,0,0,0,0.475102,0.136501,394.068,0.0312882,-0.0379082,-0.0829753,394.078,0.125652,-0.00787829,0.0218775
0.0312882,-0.0379082,-0.0829753,394.078,0.125652,-0.00787829,0.0218775,0,0,0,0.472224,0.135608,394.091,0.0341129,-0.0380236,-0.082907,394.102,0.156524,-0.00583126,-0.00471205
0.0341129,-0.0380236,-0.082907,394.102,0.156524,-0.00583126,-0.00471205,0,0,0,0.468469,0.135557,394.111,0.0377625,-0.0382305,-0.0827243,394.122,0.214302,-0.0181528,0.0336137
0.0377625,-0.0382305,-0.0827243,394.122,0.214302,-0.0181528,0.0336137,0,0,0,0.463618,0.135419,394.129,0.0430168,-0.0388185,-0.0813678,394.14,0.304422,-0.0360994,0.0914312
0.0430168,-0.0388185,-0.0813678,394.14,0.304422,-0.0360994,0.0914312,0,0,0,0.456634,0.134396,394.152,0.0498801,-0.0394812,-0.079752,394.163,0.37488,-0.0293547,0.0743394
0.0498801,-0.0394812,-0.079752,394.163,0.37488,-0.0293547,0.0743394,0.086865,0.000943301,0.0217179,0.551346,0.147958,394.171,0.0576893,-0.0399965,-0.078067,394.181,0.404079,-0.0232318,0.0833215
0.0576893,-0.0399965,-0.078067,394.181,0.404079,-0.0232318,0.0833215,0.086865,0.000943301,0.0217179,0.540971,0.146687,394.191,0.06615,-0.0404163,-0.07643,394.203,0.443883,-0.0190696,0.0858261
